,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
1797,Stanley Nsoki,Hoffenheim, 23, D(CL),,,7(2),644,-,-,1,-,0.2,80.3,1.2,-,6.35
1798,Sepp van den Berg,Schalke, 21, D(CR),M(R),,4,323,-,-,1,-,0.8,83.6,1.8,-,6.35
1799,Jean-Paul Boëtius,Hertha Berlin, 28, AM(CL),FW,,5(6),572,-,-,2,-,0.4,73.8,0.3,-,6.35
1800,Denis Huseinbasic,FC Koln, 21, Midfielder,,,3(6),372,2,1,1,-,0.8,85.7,0.3,-,6.34
1801,Felix Passlack,Borussia Dortmund, 24, D(LR),M(CR),,0(2),47,-,-,-,-,-,77.3,0.5,-,6.34
1802,Amine Adli,Leverkusen, 22, AM(CL),FW,,3(5),354,-,1,-,-,0.6,82.4,0.4,-,6.34
1803,Kevin Schade,Freiburg, 21, AM(R),,,1(7),175,1,-,-,-,0.5,50,2.1,-,6.33
1804,Woo-Yeong Jeong,Freiburg, 23, AM(CR),FW,,3(10),463,1,1,1,-,0.5,79.2,0.2,-,6.33
1805,Josip Brekalo,Wolfsburg, 24, AM(CLR),FW,,3(3),271,-,1,-,-,0.3,73.8,-,-,6.33
1806,Odilon Kossounou,Leverkusen, 22, D(CR),,,5(6),516,-,1,-,-,0.1,82.8,1.2,-,6.33
1807,Sargis Adamyan,FC Koln, 29, AM(CLR),FW,,3(11),430,1,1,1,-,1.1,75.2,0.6,-,6.33
1808,Dominick Drexler,Schalke, 32, AM(CLR),,,10(2),736,2,3,2,1,0.8,67.6,1,1,6.33
1809,Morten Thorsby,Union Berlin, 26, M(CLR),,,4(7),431,1,-,1,-,0.6,68.5,1,-,6.33
1810,Atakan Karazor,Stuttgart, 26, D(C),DMC,,5(7),482,-,-,5,-,0.2,84.3,0.6,-,6.32
1811,Florian Müller,Stuttgart, 25, GK,,,15,1350,-,-,-,-,-,79.9,0.3,-,6.32
1812,Reece Oxford,Augsburg, 24, D(C),DMC,,1(2),93,-,-,-,-,-,54.9,2.3,-,6.32
1813,Simon Zoller,Bochum, 31, AM(LR),FW,,13(1),987,3,1,3,-,1.8,63.5,0.9,1,6.32
1814,Raphael Framberger,Augsburg, 27, D(R),M(R),,2(1),177,-,-,-,-,-,35,1.7,-,6.32
1815,Alex Král,Schalke, 24, DMC,,,10(2),905,-,-,1,-,0.7,69.7,0.8,-,6.32
